team,number,position,birth_date,shirt_name,club,height,weight,league,to,age,caps,BMI
ARGENTINA,1,GK,1986-02-10,GUZMÁN,Tigres UANL,192,90,MEX,Moscow,32,6,24.4140625
ARGENTINA,10,FW,1987-06-24,MESSI,FC Barcelona,170,72,ESP,Moscow,31,124,24.91349481
ARGENTINA,11,MF,1988-02-14,DI MARÍA,Paris Saint-Germain FC,178,75,FRA,Moscow,30,94,23.67125363
ARGENTINA,12,GK,1986-10-16,ARMANI,CA River Plate,189,85,ARG,Moscow,32,0,23.79552644
ARGENTINA,13,MF,1992-12-15,MEZA,CA Independiente,180,76,ARG,Moscow,25,2,23.45679012
ARGENTINA,14,DF,1984-06-08,MASCHERANO,Hebei China Fortune FC,174,73,CHN,Moscow,34,143,24.11150746
ARGENTINA,15,MF,1993-02-15,LANZINI,West Ham United FC,167,66,ENG,Moscow,25,23,23.66524436
ARGENTINA,16,DF,1990-03-20,ROJO,Manchester United FC,189,82,ENG,Moscow,28,56,22.95568433
ARGENTINA,17,DF,1988-02-12,OTAMENDI,Manchester City FC,181,81,ENG,Moscow,30,54,24.72452001
ARGENTINA,18,DF,1990-07-13,SALVIO,SL Benfica,167,69,POR,Moscow,28,9,24.74093729
ARGENTINA,19,FW,1988-06-02,AGÜERO,Manchester City FC,172,74,ENG,Moscow,30,85,25.01352082
ARGENTINA,2,DF,1987-03-18,MERCADO,Sevilla FC,181,81,ESP,Moscow,31,20,24.72452001
ARGENTINA,20,MF,1996-04-09,LO CELSO,Paris Saint-Germain FC,177,75,FRA,Moscow,22,5,23.93948099
ARGENTINA,21,FW,1993-11-15,DYBALA,Juventus FC,177,73,ITA,Moscow,25,12,23.30109483
ARGENTINA,22,MF,1996-01-21,PAVÓN,CA Boca Juniors,169,65,ARG,Moscow,22,5,22.75830678
ARGENTINA,23,GK,1981-09-28,CABALLERO,Chelsea FC,186,80,ENG,Moscow,37,3,23.12406059
ARGENTINA,3,DF,1992-08-31,TAGLIAFICO,AFC Ajax,169,65,NED,Moscow,26,4,22.75830678
ARGENTINA,4,DF,1986-09-20,ANSALDI,Torino FC,181,73,ITA,Moscow,32,5,22.28259211
ARGENTINA,5,MF,1986-01-30,BIGLIA,AC Milan,175,73,ITA,Moscow,32,57,23.83673469
ARGENTINA,6,DF,1987-03-17,FAZIO,AS Roma,199,85,ITA,Moscow,31,9,21.46410444
ARGENTINA,7,MF,1988-06-29,BANEGA,Sevilla FC,175,73,ESP,Moscow,30,62,23.83673469
ARGENTINA,8,DF,1991-10-28,ACUÑA,Sporting CP,172,77,POR,Moscow,27,10,26.02758248
ARGENTINA,9,FW,1987-12-10,HIGUAÍN,Juventus FC,184,75,ITA,Moscow,31,71,22.1526465
AUSTRALIA,1,GK,1992-04-08,RYAN,Brighton & Hove Albion FC,184,82,ENG,Moscow,26,44,24.22022684
AUSTRALIA,10,FW,1988-10-05,KRUSE,VfL Bochum,180,66,GER,Moscow,30,64,20.37037037
AUSTRALIA,11,FW,1992-12-17,NABBOUT,Urawa Reds,178,85,JPN,Moscow,25,4,26.82742078
AUSTRALIA,12,GK,1982-03-19,JONES,Feyenoord Rotterdam,193,87,NED,Moscow,36,6,23.35633171
AUSTRALIA,13,MF,1990-09-15,MOOY,Huddersfield Town FC,173,72,ENG,Moscow,28,34,24.05693475
AUSTRALIA,14,FW,1993-07-29,MACLAREN,Hibernian FC,178,72,SCO,Moscow,25,6,22.72440348
AUSTRALIA,15,MF,1984-08-03,JEDINAK,Aston Villa FC,188,78,ENG,Moscow,34,76,22.06880942
AUSTRALIA,16,DF,1990-12-16,BEHICH,Bursaspor,170,63,TUR,Moscow,27,23,21.79930796
