Block,Cultivar,Trt,Source,Count
1,Chemain,April,SoilCount,7
1,Chemain,April,SoilCount,113
1,Chemain,April,SoilCount,0
1,Chemain,April,SoilCount,7
2,Chemain,April,SoilCount,15
2,Chemain,April,SoilCount,148
2,Chemain,April,SoilCount,4
2,Chemain,April,SoilCount,0
3,Chemain,April,SoilCount,0
3,Chemain,April,SoilCount,2
3,Chemain,April,SoilCount,6
3,Chemain,April,SoilCount,4
4,Chemain,April,SoilCount,0
4,Chemain,April,SoilCount,39
4,Chemain,April,SoilCount,1
4,Chemain,April,SoilCount,4
1,Chemain,control,SoilCount,0
1,Chemain,control,SoilCount,73
1,Chemain,control,SoilCount,0
1,Chemain,control,SoilCount,4
2,Chemain,control,SoilCount,4
2,Chemain,control,SoilCount,4
2,Chemain,control,SoilCount,9
2,Chemain,control,SoilCount,5
3,Chemain,control,SoilCount,8
3,Chemain,control,SoilCount,0
3,Chemain,control,SoilCount,12
3,Chemain,control,SoilCount,10
4,Chemain,control,SoilCount,7
4,Chemain,control,SoilCount,8
4,Chemain,control,SoilCount,17
4,Chemain,control,SoilCount,4
1,Chemain,June,SoilCount,0
1,Chemain,June,SoilCount,139
1,Chemain,June,SoilCount,12
1,Chemain,June,SoilCount,2
2,Chemain,June,SoilCount,4
2,Chemain,June,SoilCount,70
2,Chemain,June,SoilCount,0
2,Chemain,June,SoilCount,0
3,Chemain,June,SoilCount,2
3,Chemain,June,SoilCount,8
3,Chemain,June,SoilCount,1
3,Chemain,June,SoilCount,0
4,Chemain,June,SoilCount,6
4,Chemain,June,SoilCount,0
4,Chemain,June,SoilCount,14
4,Chemain,June,SoilCount,0
1,Chemain,May,SoilCount,2
1,Chemain,May,SoilCount,12
1,Chemain,May,SoilCount,2
1,Chemain,May,SoilCount,4
2,Chemain,May,SoilCount,2
2,Chemain,May,SoilCount,8
2,Chemain,May,SoilCount,0
2,Chemain,May,SoilCount,0
3,Chemain,May,SoilCount,2
3,Chemain,May,SoilCount,8
3,Chemain,May,SoilCount,0
3,Chemain,May,SoilCount,2
4,Chemain,May,SoilCount,0
4,Chemain,May,SoilCount,0
4,Chemain,May,SoilCount,0
4,Chemain,May,SoilCount,0
1,Fieldry,April,SoilCount,13
1,Fieldry,April,SoilCount,55
1,Fieldry,April,SoilCount,45
1,Fieldry,April,SoilCount,73
2,Fieldry,April,SoilCount,20
2,Fieldry,April,SoilCount,7
